Date,City
2024-12-08,Sacramento
2024-12-08,Los Angeles
2024-12-09,Toronto
2024-12-10,Milwaukee
2024-12-10,Oklahoma City
2024-12-11,New York
2024-12-11,Houston
2024-12-12,Boston
2024-12-12,Miami
2024-12-12,New Orleans
2024-12-13,Cleveland
2024-12-13,Philadelphia
2024-12-13,Chicago
2024-12-13,Memphis
2024-12-13,Minneapolis
2024-12-13,Denver
2024-12-13,Salt Lake City
2024-12-13,Portland
2024-12-14,Las Vegas
2024-12-14,Las Vegas
2024-12-15,Indianapolis
2024-12-15,Orlando
2024-12-15,Washington
2024-12-15,San Antonio
2024-12-15,Phoenix
2024-12-15,San Francisco
2024-12-15,Los Angeles
2024-12-16,Charlotte
2024-12-16,Detroit
2024-12-16,Brooklyn
2024-12-16,Toronto
2024-12-16,Sacramento
2024-12-16,Inglewood
2024-12-17,Las Vegas
2024-12-19,Detroit
2024-12-19,Orlando
2024-12-19,Washington
2024-12-19,Boston
2024-12-19,Toronto
2024-12-19,Houston
2024-12-19,Memphis
2024-12-19,San Antonio
2024-12-19,Dallas
2024-12-19,Phoenix
2024-12-19,Minneapolis
2024-12-19,Portland
2024-12-19,Sacramento
2024-12-20,Philadelphia
2024-12-20,Cleveland
2024-12-20,Miami
2024-12-21,Sacramento
2024-12-21,Orlando
2024-12-21,Atlanta
2024-12-21,Brooklyn
2024-12-21,Chicago
2024-12-21,Cleveland
2024-12-21,Milwaukee
2024-12-21,Minneapolis
2024-12-21,New Orleans
2024-12-21,Dallas
2024-12-21,San Antonio
2024-12-21,Phoenix
2024-12-22,Sacramento
2024-12-22,Toronto
2024-12-22,New Orleans
2024-12-23,Charlotte
2024-12-23,Cleveland
2024-12-23,Orlando
2024-12-23,Philadelphia
2024-12-23,Atlanta
2024-12-23,Miami
2024-12-23,New York
2024-12-23,Chicago
2024-12-23,Memphis
2024-12-23,Oklahoma City
2024-12-23,Dallas
2024-12-23,Denver
2024-12-23,San Francisco
2024-12-23,Los Angeles
2024-12-25,New York
2024-12-25,Dallas
2024-12-25,Boston
2024-12-25,San Francisco
2024-12-25,Phoenix
2024-12-26,Indianapolis
2024-12-26,Orlando
2024-12-26,Washington
2024-12-26,Atlanta
2024-12-26,Memphis
2024-12-26,Milwaukee
2024-12-26,New Orleans
2024-12-26,Portland
2024-12-26,Sacramento
2024-12-27,Orlando
2024-12-27,Boston
2024-12-27,Brooklyn
2024-12-27,Houston
2024-12-27,New Orleans
2024-12-27,Denver
2024-12-27,Phoenix
2024-12-27,Inglewood
2024-12-28,Atlanta
2024-12-28,Charlotte
2024-12-28,Washington
2024-12-28,Chicago
2024-12-28,San Francisco
2024-12-28,Denver
2024-12-28,Salt Lake City
2024-12-28,Portland
2024-12-28,Los Angeles
2024-12-29,Orlando
2024-12-29,Boston
2024-12-29,Toronto
2024-12-29,Houston
2024-12-29,Oklahoma City
2024-12-29,Minneapolis
2024-12-30,Charlotte
2024-12-30,Washington
2024-12-30,New Orleans
2024-12-30,Salt Lake City
2024-12-30,San Francisco
2024-12-30,Portland
2024-12-30,Sacramento
2024-12-31,Boston
2024-12-31,Indianapolis
2024-12-31,San Antonio
2024-12-31,Oklahoma City
2024-12-31,Los Angeles
2024-12-31,Phoenix
